temp_avg,humidity_avg,leaf_wetness_hours,soil_moisture,ph_water,ec_water,irrigation_l_day,plant_age_days,light_hours,disease_future
13.7,91.9,9,40.7,5.93,1.77,1.2,52,9.6,4
19.5,95.4,12,57.5,6.36,2.66,2.7,33,11.9,4
17.3,98.7,8,65.3,6.57,1.26,3.2,75,11.2,4
16.0,97.3,12,56.5,6.74,2.02,2.3,40,13.7,4
11.6,98.1,9,46.6,5.82,2.29,2.3,65,10.4,4
11.6,96.6,11,41.0,6.32,2.69,1.6,35,12.2,4
10.6,96.9,7,46.4,6.27,2.19,2.9,35,10.9,4
18.7,98.5,11,52.5,6.46,2.49,2.9,48,11.1,4
16.0,92.5,12,62.8,6.36,1.33,2.5,27,9.6,4
17.1,94.9,7,45.6,6.49,1.82,1.5,22,10.7,4
10.2,92.2,6,61.6,6.46,1.8,1.2,38,10.8,4
19.7,99.9,10,66.0,5.92,2.62,1.2,85,12.2,4
18.3,99.4,11,53.6,6.6,1.44,2.5,98,13.6,4
12.1,90.4,9,64.6,5.92,1.44,3.1,93,10.0,4
11.8,97.1,6,56.6,6.5,1.73,3.1,41,8.3,4
11.8,99.3,10,59.1,6.22,1.29,2.2,65,11.0,4
13.0,91.8,9,55.8,6.31,1.49,3.0,32,11.3,4
15.2,95.7,8,53.9,6.7,2.74,3.4,52,9.0,4
14.3,99.2,9,47.0,6.69,1.89,1.7,24,12.6,4
12.9,90.3,7,49.1,6.62,2.21,2.0,96,13.9,4
16.1,97.0,7,48.7,6.31,2.36,3.3,46,13.7,4
11.4,93.0,8,56.9,6.54,1.79,1.8,97,9.2,4
12.9,99.2,6,43.6,6.31,1.44,3.3,43,13.3,4
13.7,99.7,10,67.5,6.67,1.53,3.5,86,12.2,4
14.6,99.4,9,61.6,6.2,1.7,2.7,82,10.7,4
17.9,94.7,7,52.0,6.77,2.22,3.0,67,11.2,4
12.0,98.6,6,44.8,6.73,1.84,2.9,82,13.1,4
15.1,98.4,8,66.5,6.54,1.21,2.7,97,10.9,4
15.9,93.2,12,64.7,6.08,2.04,1.8,31,10.2,4
10.5,98.3,11,61.7,5.93,2.67,1.1,47,11.0,4
16.1,90.4,12,48.1,6.65,2.5,1.9,63,11.5,4
11.7,96.0,12,52.1,5.97,2.52,2.7,62,9.1,4
10.7,92.3,7,43.1,6.65,2.47,1.3,36,13.4,4
19.5,91.2,8,45.7,6.29,1.72,1.0,59,12.0,4
19.7,90.8,9,63.5,6.21,2.42,1.3,68,11.8,4
18.1,97.0,12,61.5,6.7,1.43,2.8,76,8.6,4
13.0,93.4,12,57.8,6.4,2.25,3.4,83,11.6,4
11.0,97.2,10,66.9,6.38,2.23,3.5,94,8.7,4
16.8,90.7,7,57.5,6.36,1.24,2.2,76,8.5,4
14.4,93.2,7,54.0,6.17,2.46,3.2,93,11.2,4
11.2,95.4,9,50.2,6.59,2.65,2.8,93,10.4,4
15.0,97.9,11,68.2,6.05,1.63,2.3,89,11.5,4
10.3,93.2,6,42.5,6.74,2.5,2.4,95,8.5,4
19.1,96.3,10,67.9,6.69,1.33,1.3,62,10.6,4
12.6,98.9,7,64.8,6.14,2.16,3.3,42,9.0,4
16.6,96.2,10,43.9,6.53,1.98,1.9,46,13.9,4
13.1,92.3,7,56.9,6.37,2.07,2.1,77,11.4,4
15.2,90.2,10,66.0,6.14,2.68,2.7,56,12.1,4
15.5,98.7,8,57.2,6.79,2.59,1.8,25,10.0,4
11.8,90.2,12,67.2,5.83,2.46,1.6,84,8.6,4
19.7,98.7,7,68.3,6.05,1.64,2.6,25,13.9,4
17.8,95.3,10,52.7,6.32,2.66,1.1,69,9.7,4
19.4,99.4,6,51.3,6.32,1.36,2.8,41,10.5,4
18.9,98.0,8,68.1,6.39,2.57,2.3,44,11.9,4
